Round,Result,Running_Money,Debug
16866,Win,506,"Result: Win, Money: $506"
16867,Loss,505,"Result: Loss, Money: $505"
16868,Push,505,"Result: Push, Money: $505"
16869,Win,506,"Result: Win, Money: $506"
16870,Loss,505,"Result: Loss, Money: $505"
16871,Loss,503,"Result: Loss, Money: $503"
16872,Win,504,"Result: Win, Money: $504"
16873,Win,505,"Result: Win, Money: $505"
16874,Loss,504,"Result: Loss, Money: $504"
16875,Loss,503,"Result: Loss, Money: $503"
16876,Win,504,"Result: Win, Money: $504"
16877,Loss,503,"Result: Loss, Money: $503"
16878,Loss,502,"Result: Loss, Money: $502"
16879,Loss,501,"Result: Loss, Money: $501"
16880,Win,502,"Result: Win, Money: $502"
16881,Win,503,"Result: Win, Money: $503"
16882,Loss,502,"Result: Loss, Money: $502"
16883,Win,503,"Result: Win, Money: $503"
16884,Loss,502,"Result: Loss, Money: $502"
16885,Loss,501,"Result: Loss, Money: $501"
16886,Loss,500,"Result: Loss, Money: $500"
16887,Loss,499,"Result: Loss, Money: $499"
16888,Loss,498,"Result: Loss, Money: $498"
16889,Loss,497,"Result: Loss, Money: $497"
16890,Win,498,"Result: Win, Money: $498"
16891,Loss,497,"Result: Loss, Money: $497"
16892,Loss,496,"Result: Loss, Money: $496"
16893,Win,498,"Result: Win, Money: $498"
16894,Loss,497,"Result: Loss, Money: $497"
16895,Loss,495,"Result: Loss, Money: $495"
16896,Loss,494,"Result: Loss, Money: $494"
16897,Win,495,"Result: Win, Money: $495"
16898,Push,495,"Result: Push, Money: $495"
16899,Win,496,"Result: Win, Money: $496"
16900,Push,496,"Result: Push, Money: $496"
16901,Win,497,"Result: Win, Money: $497"
16902,Win,498,"Result: Win, Money: $498"
16903,Loss,497,"Result: Loss, Money: $497"
16904,Loss,496,"Result: Loss, Money: $496"
16905,Loss,495,"Result: Loss, Money: $495"
16906,Win,496,"Result: Win, Money: $496"
16907,Win,497,"Result: Win, Money: $497"
16908,Push,497,"Result: Push, Money: $497"
16909,Win,499,"Result: Win, Money: $499"
16910,Loss,498,"Result: Loss, Money: $498"
16911,Win,500,"Result: Win, Money: $500"
16912,Loss,499,"Result: Loss, Money: $499"
16913,Push,499,"Result: Push, Money: $499"
16914,Loss,498,"Result: Loss, Money: $498"
16915,Loss,497,"Result: Loss, Money: $497"
16916,Loss,496,"Result: Loss, Money: $496"
16917,Win,497,"Result: Win, Money: $497"
16918,Push,497,"Result: Push, Money: $497"
16919,Loss,496,"Result: Loss, Money: $496"
16920,Loss,495,"Result: Loss, Money: $495"
16921,Win,497,"Result: Win, Money: $497"
16922,Win,498,"Result: Win, Money: $498"
16923,Loss,497,"Result: Loss, Money: $497"
16924,Win,498,"Result: Win, Money: $498"
16925,Win,499,"Result: Win, Money: $499"
16926,Loss,498,"Result: Loss, Money: $498"
16927,Loss,497,"Result: Loss, Money: $497"
16928,Push,497,"Result: Push, Money: $497"
16929,Loss,496,"Result: Loss, Money: $496"
16930,Loss,495,"Result: Loss, Money: $495"
16931,Loss,494,"Result: Loss, Money: $494"
16932,Loss,493,"Result: Loss, Money: $493"
16933,Win,494,"Result: Win, Money: $494"
16934,Push,494,"Result: Push, Money: $494"
16935,Win,495,"Result: Win, Money: $495"
16936,Loss,494,"Result: Loss, Money: $494"
16937,Loss,493,"Result: Loss, Money: $493"
16938,Loss,492,"Result: Loss, Money: $492"
16939,Win,493,"Result: Win, Money: $493"
16940,Win,494,"Result: Win, Money: $494"
16941,Loss,493,"Result: Loss, Money: $493"
16942,Loss,492,"Result: Loss, Money: $492"
16943,Win,494,"Result: Win, Money: $494"
16944,Win,495,"Result: Win, Money: $495"
16945,Loss,494,"Result: Loss, Money: $494"
16946,Push,494,"Result: Push, Money: $494"
16947,Win,495,"Result: Win, Money: $495"
16948,Win,496,"Result: Win, Money: $496"
16949,Loss,495,"Result: Loss, Money: $495"
16950,Loss,494,"Result: Loss, Money: $494"
16951,Win,495,"Result: Win, Money: $495"
16952,Win,496,"Result: Win, Money: $496"
16953,Loss,495,"Result: Loss, Money: $495"
16954,Win,496,"Result: Win, Money: $496"
16955,Loss,495,"Result: Loss, Money: $495"
16956,Loss,494,"Result: Loss, Money: $494"
16957,Win,495,"Result: Win, Money: $495"
16958,Loss,494,"Result: Loss, Money: $494"
16959,Loss,493,"Result: Loss, Money: $493"
16960,Win,494,"Result: Win, Money: $494"
16961,Loss,493,"Result: Loss, Money: $493"
16962,Loss,492,"Result: Loss, Money: $492"
16963,Push,492,"Result: Push, Money: $492"
16964,Loss,491,"Result: Loss, Money: $491"
16965,Win,492,"Result: Win, Money: $492"
16966,Loss,491,"Result: Loss, Money: $491"
16967,Win,492,"Result: Win, Money: $492"
16968,Loss,491,"Result: Loss, Money: $491"
